City,Label,Month,Year,Date,Day of Week,Area,SQKM,Count_000,Count_010,Count_015
Luhansk,jul_2020_12,7,2020,7/12/2020 8:39,6,0.006700388,52.93811276,12604,2701,1560
Luhansk,jul_2020_20,7,2020,7/20/2020 8:32,0,0.039755104,317.0462286,100234,15997,9047
Luhansk,jul_2020_26,7,2020,7/26/2020 8:10,6,0.025135658,196.1709352,20030,2873,1138
Luhansk,jul_2021_13,7,2021,7/13/2021 8:17,1,0.002110973,16.71296263,2029,357,29
Luhansk,jul_2021_21,7,2021,7/21/2021 8:43,2,0.005117539,40.99421978,10050,496,94
Luhansk,jul_2021_27,7,2021,7/27/2021 8:27,1,0.003807217,30.44891444,13248,608,94
Luhansk,jun_2019_02,6,2019,6/2/2019 8:35,6,0.055464971,432.6260735,231819,29474,14787
Luhansk,jun_2019_16,6,2019,6/16/2019 8:56,6,0.00156287,12.39720733,14751,1036,95
Luhansk,jun_2020_07,6,2020,6/7/2020 8:15,6,0.005796636,45.75264164,13426,2411,1150
Luhansk,jun_2021_19,6,2021,6/19/2021 8:40,5,0.039288115,312.0161083,204222,41166,22701
Luhansk,jun_2021_29,6,2021,6/29/2021 8:18,1,0.006746793,53.45112471,43796,2367,421
Luhansk,jun_2021_30,6,2021,6/30/2021 8:41,2,0.000948899,7.418601368,1050,21,5
Luhansk,mar_2019_07,3,2019,3/7/2019 8:51,3,0.055464971,432.6260728,374766,71729,30053
Luhansk,mar_2020_30,3,2020,3/30/2020 8:36,0,0.005423575,42.72515428,904,25,0
Luhansk,may_2020_02,5,2020,5/2/2020 8:44,5,0.014214976,113.8009,106353,18273,6130
Luhansk,may_2021_22,5,2021,5/22/2021 8:20,5,0.005487257,43.43189644,255,28,8
Luhansk,nov_2019_16,11,2019,11/16/2019 8:30,5,0.008712243,69.68948307,15386,1120,373
Luhansk,nov_2019_21,11,2019,11/21/2019 8:45,3,0.055464971,432.626162,212517,16920,4457
Luhansk,oct_2019_04,10,2019,10/4/2019 8:13,4,0.043423265,342.1350385,64816,4813,1191
Luhansk,oct_2019_12,10,2019,10/12/2019 8:18,5,0.023474081,181.5789661,70432,4064,772
Luhansk,oct_2020_04,10,2020,10/4/2020 8:32,6,0.006875909,54.39203524,6965,684,352
Luhansk,oct_2020_20,10,2020,10/20/2020 8:45,1,0.005007643,39.84085014,56666,5360,1238
Luhansk,oct_2021_02,10,2021,10/2/2021 8:23,5,0.055409055,432.6236977,313749,35703,13658
Luhansk,sep_2019_11,9,2019,9/11/2019 8:59,2,0.041401435,326.0184688,77432,8387,2924
Luhansk,sep_2020_07,9,2020,9/7/2020 8:26,0,0.009115692,72.43742225,13599,1472,663
Luhansk,sep_2020_13,9,2020,9/13/2020 8:06,6,0.049286258,388.6246149,189019,16910,3864
Luhansk,sep_2020_24,9,2020,9/24/2020 8:46,3,0.005618006,44.09590321,17296,1790,799
Lutsk,apr_2019_02,4,2019,4/2/2019 9:25,1,0.023806958,173.0396983,67082,24684,15878
Lutsk,apr_2019_14,4,2019,4/14/2019 9:22,6,0.026364648,189.5204444,84067,20804,12393
Lutsk,apr_2020_03,4,2020,4/3/2020 9:26,4,0.026364648,189.5204542,341274,62219,32558
Lutsk,apr_2021_05,4,2021,4/5/2021 9:11,0,0.021358442,160.4495206,131917,36114,22862
Lutsk,feb_2021_01,2,2021,2/1/2021 9:48,0,0.0013998,10.38174356,4202,474,4
Lutsk,feb_2022_14,2,2022,2/14/2022 9:23,0,0.025417236,183.6650417,79946,12757,5203
Lutsk,jan_2019_17,1,2019,1/17/2019 9:22,3,0.023618284,173.4548355,15345,564,75
Lutsk,jun_2019_15,6,2019,6/15/2019 9:41,5,0.023687595,173.9118426,78680,14021,6354
Lutsk,mar_2019_01,3,2019,3/1/2019 9:41,4,0.024461015,177.4770106,51442,9985,5307
Lutsk,mar_2020_20,3,2020,3/20/2020 9:11,4,0.016521317,124.6730319,76256,12361,6357
Lutsk,mar_2021_08,3,2021,3/8/2021 9:20,0,0.026364648,189.5204511,34115,2167,617
Lutsk,mar_2022_18,3,2022,3/18/2022 9:44,4,0.010698758,79.55063985,28671,5783,2815
Lutsk,may_2021_10,5,2021,5/10/2021 9:36,0,0.013815315,104.4487348,34183,7594,3815
Lutsk,oct_2019_13,10,2019,10/13/2019 9:21,6,0.013666681,101.3677861,30843,3293,918
Lutsk,oct_2021_06,10,2021,10/6/2021 9:45,2,0.026153942,188.6934305,103239,24707,13047
Lutsk,sep_2020_16,9,2020,9/16/2020 9:34,2,0.026364648,189.5204445,158838,32000,14699
Lutsk,sep_2020_22,9,2020,9/22/2020 9:14,1,0.011500159,86.7894619,61468,15219,9215
Lviv,apr_2020_09,4,2020,4/9/2020 9:30,3,0.008279891,63.62220684,37912,10114,5541
Lviv,apr_2020_10,4,2020,4/10/2020 9:37,4,0.001455234,11.0188117,15956,4430,3002
Lviv,apr_2022_25,4,2022,4/25/2022 9:45,0,0.011367633,88.05775007,74943,23612,13679
Lviv,aug_2019_02,8,2019,8/2/2019 9:42,4,0.002070941,15.83159626,15803,5410,4024
Lviv,aug_2019_21,8,2019,8/21/2019 9:45,2,0.026966857,203.8856177,303787,95463,66724
Lviv,b_s1,2,2022,2/14/2022 9:23,0,0.026928991,203.6371576,68467,16373,7951
Lviv,feb_2022_14,2,2022,2/14/2022 9:23,0,0.026928991,203.6371576,68467,16373,7951
Lviv,feb_2022_24,2,2022,2/24/2022 9:54,3,0.001115877,8.933096357,1616,290,98
Lviv,feb_2022_25,2,2022,2/25/2022 9:39,4,0.026424232,201.1777838,101613,20906,10999
Lviv,jan_2019_08,1,2019,1/8/2019 9:54,1,0.010872553,83.934369,34407,2153,321
Lviv,jan_2019_19,1,2019,1/19/2019 9:48,5,0.011056487,85.37707855,30282,4602,1803
Lviv,mar_2020_27,3,2020,3/27/2020 9:08,4,0.027089052,204.6399852,106057,25757,12569
Lviv,mar_2022_21,3,2022,3/21/2022 9:40,0,0.013692521,102.140735,189680,56525,38107
Lviv,mar_2022_26,3,2022,3/26/2022 9:50,5,0.006134058,47.75222883,41367,9290,3885
Lviv,may_2022_06,5,2022,5/6/2022 9:40,4,0.016793986,129.0220477,82551,25085,13642
Lviv,may_2022_11,5,2022,5/11/2022 9:39,2,0.026732479,201.4255209,483622,141576,92875
Lviv,may_2022_19,5,2022,5/19/2022 10:01,3,0.024684866,189.5120442,160126,46951,24735
Lviv,sep_2019_09,9,2019,9/9/2019 9:46,0,0.002539716,18.7529421,10520,3346,2337
Lviv,sep_2020_22,9,2020,9/22/2020 9:14,1,0.014847676,112.3545572,92092,32472,18407
Lviv,sep_2021_05,9,2021,9/5/2021 9:33,6,0.011152016,82.58700061,175763,50758,30797
Mamalyha,apr_2022_06,4,2022,4/6/2022 8:58,2,0.008451436,64.25886091,8214,547,148
Mamalyha,aug_2020_26,8,2020,8/26/2020 9:25,2,0.008451436,64.25886405,13170,823,315
Mamalyha,feb_2019_16,2,2019,2/16/2019 9:20,5,0.008451436,64.25886648,21605,1952,454
Mamalyha,jan_2021_16,1,2021,1/16/2021 9:38,5,0.003882094,29.76591494,2118,70,7
Mamalyha,jun_2020_29,6,2020,6/29/2020 9:04,0,0.008451436,64.25886091,23440,1499,279
Mamalyha,jun_2021_25,6,2021,6/25/2021 9:40,4,0.003141677,24.57647685,4267,338,135
Mamalyha,mar_2019_10,3,2019,3/10/2019 9:11,6,0.002884496,22.76915078,10507,986,131
Mamalyha,nov_2021_03,11,2021,11/3/2021 9:14,2,0.000559483,4.372430421,839,53,22
Mariupol,apr_2022_02,4,2022,4/2/2022 8:13,5,0.001453036,11.92924055,653,25,6
Mariupol,apr_2022_03,4,2022,4/3/2022 8:50,6,0.028682396,224.2099385,62886,5357,1642
Mariupol,apr_2022_11,4,2022,4/11/2022 8:20,0,0.018496818,146.8205886,26260,2998,914
Mariupol,apr_2022_30,4,2022,4/30/2022 8:29,5,0.011745441,95.81657515,38403,5608,2349
Mariupol,aug_2019_08,8,2019,8/8/2019 8:55,3,0.026318958,207.9165921,97411,21931,12720
