location_name,snapshot,AOI_area_sqkm,AOI_area_covered_sqkm,AOI_area_covered_perc,Perc_area_covered_by_feature,N_features_in_img,Image_resolution,Number_of_img_tiles_downloaded,Stitched_img_width,Stitched_img_height,Total_downloaded_imagery_MB,Stitched_img_file_size_MB,Geotiff_img_file_size_MB
Kharkiv,apr_2020_07,386.9412351,386.9416952,1.000001189,"0.614,0.386",2,0.4,749,59209,58915,349.0400362,2995.042168,382.1614428
Kharkiv,jun_2020_09,386.9412351,386.942224,1.000002556,"0.776,0.224",2,0.4,749,59209,58915,316.3771057,2754.537172,344.9984026
Kharkiv,jun_2020_14,386.9412351,157.5441719,0.407152708,0.407,1,0.5,179,25255,31435,107.2214308,865.3988819,116.2016859
Kharkiv,oct_2020_08,386.9412351,270.5909516,0.699307613,0.699,1,0.3,543,55253,65475,413.3729324,3529.034565,447.6183891
Kharkiv,oct_2020_09,386.9412351,69.37645155,0.179294542,"0.173,0.006",2,0.5,216,11052,36937,54.97023869,451.513566,60.49197388
Kharkiv,jan_2021_18,386.9412351,312.8393838,0.808493268,0.808,1,0.5,304,34736,47132,105.8252048,972.3404741,104.8165655
Kharkiv,feb_2021_19,386.9412351,311.9319088,0.806148016,0.806,1,0.5,282,39458,40061,232.9905081,1890.427448,255.2776566
Kharkiv,may_2021_22,386.9412351,241.4630307,0.624030237,0.624,1,0.5,219,37074,30635,123.8973389,1027.757427,133.9289169
Kharkiv,may_2021_25,386.9412351,219.2321477,0.566577371,0.567,1,0.3,462,60449,45808,294.6132336,2314.878121,316.1485786
Kharkiv,may_2021_28,386.9412351,185.4277148,0.479214149,0.479,1,0.5,190,37104,25163,99.73223305,836.4346914,107.9211559
Kharkiv,jun_2021_24,386.9412351,165.8416842,0.428596565,0.429,1,0.4,314,43417,28506,87.82971191,735.6020679,91.34811115
Kharkiv,jul_2021_14,386.9412351,206.8529841,0.53458501,0.535,1,0.3,401,57825,51039,349.2523851,2597.394354,379.6405497
Kharkiv,jul_2021_15,386.9412351,281.7636185,0.728181938,0.728,1,0.5,233,40238,33779,143.7843809,1198.065118,155.2241879
Kharkiv,aug_2021_02,386.9412351,183.4344723,0.47406287,0.474,1,0.3,353,57889,43244,319.6256666,2560.799208,346.6856108
Kharkiv,oct_2021_09,386.9412351,20.35404344,0.052602415,0.053,1,0.3,250,9536,41595,31.51448822,272.4231777,34.80551338
Kharkiv,oct_2021_10,386.9412351,326.3276836,0.843352049,"0.512,0.332",2,0.5,326,37894,47132,177.1919022,1518.760707,192.7697926
Kharkiv,jan_2022_13,386.9412351,163.3518401,0.422161882,"0.384,0.038",2,0.3,367,56482,48401,273.7066946,2117.530305,298.1458559
Kharkiv,feb_2022_20,386.9412351,386.9440486,1.000007271,"0.791,0.209",2,0.5,326,47367,47132,268.5122194,2116.566881,295.6667557
Kharkiv,apr_2022_16,386.9412351,31.83548719,0.082274734,0.082,1,0.4,372,30492,15195,26.32350731,208.7206745,29.89800453
Kharkiv,apr_2022_22,386.9412351,63.58161886,0.16431854,0.164,1,0.4,243,29028,20591,47.23474598,422.7394238,51.97936153
Kharkiv,apr_2022_24,386.9412351,102.1790265,0.26406859,0.264,1,0.4,351,30529,31389,76.8671627,644.7899189,83.52362156
Kharkiv,apr_2022_25,386.9412351,5.379301058,0.013902114,0.014,1,0.3,290,6566,16036,8.71523571,69.13104248,9.287744522
Kharkiv,may_2022_05,386.9412351,245.9317619,0.6355791,0.636,1,0.5,213,37080,32992,128.6902208,1110.862369,139.8034544
Kharkiv,may_2022_08,386.9412351,42.01936457,0.108593659,0.109,1,0.3,194,30183,31380,53.12946796,460.1562004,59.0588913
Kharkiv,may_2022_20,386.9412351,246.4300191,0.636866782,0.637,1,0.3,484,46045,75929,427.6494427,3491.348644,465.8017464
Kharkiv,jun_2022_15,386.9412351,275.8172485,0.712814307,0.713,1,0.5,258,41021,32990,133.3158054,1073.809055,143.224781
Kharkiv,jul_2022_09,386.9412351,231.316517,0.597807874,0.598,1,0.4,411,45364,39279,175.7127523,1375.493051,189.1533527
Kharkiv,aug_2022_22,386.9412351,195.8411937,0.50612645,0.506,1,0.3,348,49958,49750,240.4748039,1976.85155,255.3397465
Kharkiv,sep_2022_01,386.9412351,338.5765053,0.875007558,0.875,1,0.5,295,39473,45564,192.7002316,1559.295149,209.9591484
Kharkiv,sep_2022_03,386.9412351,117.2977334,0.30314095,0.303,1,0.45,267,28896,31394,107.5593605,861.3446827,118.0454369
Kherson,nov_2021_11,132.7232804,132.7232945,1.000000106,"0.547,0.453",2,0.3,414,70858,45406,184.7833853,1520.606352,208.8412333
Kherson,mar_2022_14,132.7232804,26.21521076,0.197517803,0.198,1,0.5,313,14311,11323,10.77826595,102.7964334,11.59571362
Kherson,mar_2022_16,132.7232804,132.7232804,1,1,1,0.5,318,42515,27244,81.66048431,719.778327,92.04534817
Kherson,mar_2022_31,132.7232804,132.7232804,1,1,1,0.5,319,42515,27244,80.28054619,682.2759495,89.42627048
Kherson,apr_2022_07,132.7232804,75.38395002,0.567978351,0.568,1,0.3,285,65184,26533,110.0440388,925.1052246,123.8739719
Kherson,apr_2022_15,132.7232804,132.7081403,0.999885927,1,1,0.5,319,42515,27244,55.21752262,471.2703781,62.30152988
