"Image","legacyId","City","Oblast","Raion","Date","acquisitionDate","DateTime","Year","Month","Day","Hour","WeekDay","AOI_area_sqkm","AOI_area_covered_sqkm","AOI_area_covered_perc","Perc_area_covered_by_feature","N_features_in_img","Selection_reason","Image_resolution","cloudCover","offNadirAngle","sunElevation","sunAzimuth","Npop_aoi","Npop_img","Proportion","Pop_threshold","Ncars"
"Bila-Tserkva_nov_2021_13","104005003ADCE000","Bila-Tserkva","Kiev","Bilotserkivska","nov_2021_13","2021-11-13 09:24:43",2021-11-13 09:24:43,2021,11,13,9,"Saturday",129.059556,127.9063862,0.991064825,"0.991",1,"Urban area 2",0.3,0,27.163488,22.210272,175.09477,226356.6875,226775.078125,1.00184836873883,"Above",3113
"Bila-Tserkva_oct_2020_27","104005002ADCE400,104005002ADCE300","Bila-Tserkva","Kiev","Bilotserkivska","oct_2020_27","2020-10-27 08:55:49,2020-10-27 08:55:02",2020-10-27 08:55:49,2020,10,27,8,"Tuesday",129.059556,110.033737,0.852581091,"0.832,0.021",2,"Urban area 2",0.3,1.28622513481829e-05,24.0701631101993,26.5101821488863,166.977150504103,226356.6875,221672.546875,0.97930637403854,"Above",2197
"Bila-Tserkva_oct_2021_01","10300500BFF99B00","Bila-Tserkva","Kiev","Bilotserkivska","oct_2021_01","2021-10-01 09:29:40",2021-10-01 09:29:40,2021,10,1,9,"Friday",129.059556,129.059556,1,"1",1,"Urban area 2",0.5,0.00041573052,25.596884,36.892216,173.90268,226356.6875,227083.296875,1.00321001947424,"Above",866
"Bila-Tserkva_oct_2021_26","10300100C83A6300,10300100C7597B00","Bila-Tserkva","Kiev","Bilotserkivska","oct_2021_26","2021-10-26 09:08:50,2021-10-26 09:09:47",2021-10-26 09:08:50,2021,10,26,9,"Tuesday",129.059556,129.0598552,1.000002318,"0.887,0.113",2,"Urban area 2",0.5,0.0004258769066,5.0913591583,27.375166576,170.47216924,226356.6875,227083.296875,1.00321001947424,"Above",852
"Cherkasy_apr_2020_18","103005009DF9AC00,103005009DF9AD00","Cherkasy","Cherkasy","Cherkaska","apr_2020_18","2020-04-18 08:58:49,2020-04-18 08:59:01",2020-04-18 08:58:49,2020,4,18,8,"Saturday",412.4730947,411.7985284,0.998364581,"0.634,0.365",2,"Urban area 1",0.5,0.0832722656156156,24.2614999449449,50.3006438518519,159.650397467467,335324.59375,336954.03125,1.00485928419916,"Above",2635
"Cherkasy_aug_2021_15","104001006C591E00","Cherkasy","Cherkasy","Cherkaska","aug_2021_15","2021-08-15 09:01:54",2021-08-15 09:01:54,2021,8,15,9,"Sunday",412.4730947,175.261764,0.424904718,"0.425",1,"Urban area 1",0.3,0,17.639538,52.995758,157.66722,335324.59375,213487.53125,0.636659330180729,"Above",7976
"Cherkasy_aug_2022_21","10300100D981D500","Cherkasy","Cherkasy","Cherkaska","aug_2022_21","2022-08-21 08:57:13",2022-08-21 08:57:13,2022,8,21,8,"Sunday",412.4730947,239.7484923,0.581246378,"0.581",1,"Urban area 1",0.5,0,31.277441,50.947845,157.12212,335324.59375,300343.65625,0.895680370148812,"Above",1424
"Cherkasy_jul_2022_21","1040050045DC5500","Cherkasy","Cherkasy","Cherkaska","jul_2022_21","2022-07-21 08:39:38",2022-07-21 08:39:38,2022,7,21,8,"Thursday",412.4730947,210.5364544,0.510424697,"0.51",1,"Urban area 1",0.4,0.004785162,29.336914,57.25346,144.4775,335324.59375,290606.65625,0.866642834037579,"Above",10157
"Cherkasy_jun_2021_24","1040050033DCC100","Cherkasy","Cherkasy","Cherkaska","jun_2021_24","2021-06-24 08:38:01",2021-06-24 08:38:01,2021,6,24,8,"Thursday",412.4730947,162.3172247,0.39352197,"0.394",1,"Urban area 1",0.4,0.0063855387,29.37885,60.220642,143.14122,335324.59375,191905.3125,0.572297159459393,"Above",5249
"Cherkasy_mar_2021_30","104005002FDC5000,104005002FDC4F00","Cherkasy","Cherkasy","Cherkaska","mar_2021_30","2021-03-30 09:17:09,2021-03-30 09:16:56",2021-03-30 09:17:09,2021,3,30,9,"Tuesday",412.4730947,196.0273994,0.475248936,"0.368,0.108",2,"Urban area 1",0.3,0,28.6775991512605,43.9658903529412,166.503214789916,335324.59375,257550.5625,0.768063444496457,"Above",11497
"Cherkasy_may_2019_30","1040050014DC6F00,1040050014DC6E00","Cherkasy","Cherkasy","Cherkaska","may_2019_30","2019-05-30 09:26:05,2019-05-30 09:25:50",2019-05-30 09:26:05,2019,5,30,9,"Thursday",412.4730947,286.9587043,0.695702842,"0.596,0.099",2,"Urban area 1",0.3,0.00290042173697842,16.5428892143885,62.1463153021583,168.385813856115,335324.59375,308697.53125,0.920593171523077,"Above",14510
"Cherkasy_nov_2021_11","104005003ADCD100","Cherkasy","Cherkasy","Cherkaska","nov_2021_11","2021-11-11 08:53:43",2021-11-11 08:53:43,2021,11,11,8,"Thursday",412.4730947,129.2647493,0.31338953,"0.313",1,"Urban area 1",0.3,0,25.9549,22.552439,169.09906,335324.59375,280683.9375,0.837051450241263,"Above",9985
"Cherkasy_sep_2020_19","1040050029DC9B00,1040050029DC9A00","Cherkasy","Cherkasy","Cherkaska","sep_2020_19","2020-09-19 08:56:42,2020-09-19 08:55:54",2020-09-19 08:56:42,2020,9,19,8,"Saturday",412.4730947,226.1382524,0.548249705,"0.547,0.001",2,"Urban area 1",0.3,0.00934568350273723,19.6788476824818,40.9262551350365,163.780567791971,335324.59375,281064.84375,0.838187383176394,"Above",7668
"Chernihiv_apr_2019_03","1040050011DCE000","Chernihiv","Chernihiv","Chernihivska","apr_2019_03","2019-04-03 09:19:44",2019-04-03 09:19:44,2019,4,3,9,"Wednesday",120.4986872,113.7603389,0.944079488,"0.944",1,"Urban area 1",0.3,0.0016790853,15.644279,43.267494,166.72768,295522.96875,283380.28125,0.958911188692503,"Above",12305
